Language,UserCount,SalaryMeanUSD,SalaryMedianUSD,SalaryStdUSD,SalaryQ1USD,SalaryQ3USD,ExperienceCount,ExperienceMeanYears,ExperienceMedianYears,ExperienceStdYears,ExperienceQ1Years,ExperienceQ3Years,HighSalaryRatePct,TopDevType,TopDevTypePct,TopOrgSize,TopOrgSizePct
Java,6134,89331.197,75000.0,71832.295,37999.25,121000.0,5979,13.443,11.0,10.201,5.0,20.0,48.973,"Developer, full-stack",32.116,"10,000 or more employees",18.971
Kotlin,2355,91381.857,80000.0,70083.686,42286.0,121815.0,2309,12.682,10.0,9.231,6.0,17.0,51.805,"Developer, full-stack",28.747,100 to 499 employees,19.419
Scala,570,112504.796,95674.5,81576.715,52232.25,155000.0,564,14.197,12.0,10.004,7.0,20.0,61.754,"Developer, back-end",31.228,"10,000 or more employees",23.695
