model_name,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision
dummy,0.5078413284132841,0.5,0.0,0.0,0.0,0.5,0.4921586715867159
language_only,0.5631918819188192,0.5641335686140316,0.5495049504950495,0.6241799437675727,0.5844668714348399,0.5947519806055158,0.5662818414746976
profile_only,0.8035055350553506,0.8035801993076074,0.7956642066420664,0.8083411433926898,0.8019525801952581,0.8851339244292699,0.8744679890664647
full_model,0.8104243542435424,0.8105803108190816,0.7995433789954338,0.8205248359887535,0.8098982423681776,0.8904089066172272,0.8780135352019572
